Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
243,MinMax,Isomap,correlation,39765,0.4392173162464052,0.29111800980404984,0.29365831134438025
245,MinMax,Spectral,cosine,41998,0.5266167909165038,0.2942621474537602,0.3794857171896237
246,Robust,Spectral,manhattan,98540,0.2965643729445029,0.5256359119488079,0.03374641697009895
248,MinMax,Isomap,manhattan,46121,0.2327172032988656,0.5742980138807536,-0.054431803641511206
249,MinMax,Spectral,correlation,79405,0.3774676952779686,0.4901477810557548,0.1323938047500912
250,Standard,Isomap,cosine,69964,0.4047985830066727,0.4345198257108316,0.18753867015125691
251,Robust,Spectral,euclidean,50378,0.3408673500377643,0.5830028773144617,0.04936591138053348
255,Robust,MDS,cosine,50848,0.3666422862943062,0.46258758970426034,0.135348491442176
256,MinMax,Isomap,manhattan,67995,0.2815772504695674,0.5143788940608315,0.024387803439151645
257,MinMax,Isomap,manhattan,22518,0.24685374468104684,0.5429207636611174,-0.024606637149511862
258,Standard,MDS,euclidean,94892,0.2978103429249781,0.5073748002649054,0.04412294279252538
259,MaxAbs,Spectral,manhattan,67323,0.3000066627031486,0.5719046190923075,0.014054353156994825
261,MaxAbs,Isomap,correlation,15119,0.5483334729552607,0.30441226084543954,0.3961273425325409
262,Standard,Isomap,manhattan,41328,0.22699721893298386,0.5817302896210892,-0.06386792587756074
264,MinMax,Spectral,euclidean,93871,0.39887112489748705,0.5269281933393326,0.13540702822782075
267,MinMax,Spectral,euclidean,84959,0.3787624381164352,0.4352128839228005,0.16115599615503493
268,Robust,Isomap,manhattan,69801,0.1991917404628887,0.6115877154370639,-0.10660211725564325
270,Robust,Spectral,correlation,55709,0.3809026538439953,0.44042822117320446,0.16068854325739307
272,MinMax,Isomap,euclidean,61901,0.39022426519241676,0.4253586711482988,0.17754492961826737
274,MaxAbs,Isomap,cosine,11743,0.5505677301235272,0.30375615578322174,0.3986896522319163
276,MinMax,MDS,cosine,71982,0.3859240287349209,0.4834938048477639,0.14417712631103893
